pID,DAP,DaysOfYear,Height-Diff,GrowthRate-Diff,Precipitation,Humidity,SolarRadiation,Temperature,GDD,CGDD
1.0,1.0,145.0,-0.021147809,-0.027310816,3.1,64.91,29.65,60.458,13.122,13.122
2.0,2.0,146.0,-0.021418544,-0.026820559,3.22,59.76,28.76,60.08,12.141,25.263
3.0,3.0,147.0,-0.021683896,-0.026232918,3.75,64.47,28.98,57.344,8.208,33.471
4.0,4.0,148.0,-0.021942852,-0.025540197,0.39,46.44,27.61,61.772,12.537,46.008
5.0,5.0,149.0,-0.022194322,-0.024734211,0.03,42.16,26.71,64.004,13.995,60.003
6.0,6.0,150.0,-0.02243713,-0.023806249,0.0,37.94,26.43,64.4,14.85,74.853
7.0,7.0,151.0,-0.02267001,-0.022747053,0.78,53.75,28.91,66.884,16.146,90.999
8.0,8.0,152.0,-0.022891601,-0.02154678,0.63,57.73,29.94,70.412,20.331,111.33
9.0,9.0,153.0,-0.02310044,-0.020194969,5.11,56.41,31.05,72.05,21.393,132.723
10.0,10.0,154.0,-0.023294958,-0.018680508,4.61,75.24,32.13,65.894,16.335,149.058
11.0,11.0,155.0,-0.023473469,-0.016991595,0.0,54.42,29.86,71.222,19.944,169.002
12.0,12.0,156.0,-0.023634167,-0.015115699,0.31,47.26,30.72,73.868,22.365,191.367
13.0,13.0,157.0,-0.023775115,-0.013039518,0.32,55.24,32.22,70.556,20.97,212.337
14.0,14.0,158.0,-0.023894242,-0.010748935,4.7,67.12,32.46,69.674,18.783,231.12
15.0,15.0,159.0,-0.02398933,-0.008228972,0.26,61.87,31.5,72.356,21.96,253.08
16.0,16.0,160.0,-0.024058004,-0.005463743,0.0,51.96,31.56,76.91,22.923,276.003
17.0,17.0,161.0,-0.024097731,-0.002436398,0.0,42.14,31.14,77.81,24.849,300.852
18.0,18.0,162.0,-0.024105799,0.000870924,0.36,51.84,33.5,77.612,25.272,326.124
19.0,19.0,163.0,-0.024079316,0.00447716,0.01,52.87,32.57,79.394,25.965,352.089
20.0,20.0,164.0,-0.024015193,0.008402377,0.0,28.85,28.52,75.2,23.877,375.966
21.0,21.0,165.0,-0.023910134,0.012667837,0.0,28.63,27.88,74.318,21.951,397.917
22.0,22.0,166.0,-0.023760627,0.017296064,0.0,24.64,29.99,77.378,22.653,420.57
23.0,23.0,167.0,-0.023562925,0.022310914,0.0,28.68,32.3,80.96,24.228,444.798
24.0,24.0,168.0,-0.023313036,0.027737646,0.13,45.91,33.36,71.402,22.41,467.208
25.0,25.0,169.0,-0.02300671,0.033603002,0.0,32.74,31.28,71.636,20.169,487.377
26.0,26.0,170.0,-0.02263942,0.039935284,0.01,35.48,31.66,73.976,23.364,510.741
27.0,27.0,171.0,-0.022206348,0.046764441,0.01,35.95,32.59,81.716,23.526,534.267
28.0,28.0,172.0,-0.021702369,0.054122152,0.02,32.47,33.54,87.44,28.305,562.572
29.0,29.0,173.0,-0.021122032,0.062041917,2.75,38.1,32.19,79.466,25.389,587.961
30.0,30.0,174.0,-0.02045954,0.070559147,0.47,40.06,29.14,65.768,16.713,604.674
31.0,31.0,175.0,-0.019708733,0.079711256,0.45,35.56,30.99,67.856,16.182,620.856
32.0,32.0,176.0,-0.018863067,0.089537746,1.78,55.96,29.87,63.338,13.464,634.32
33.0,33.0,177.0,-0.017915591,0.100080294,0.14,46.42,30.05,70.754,21.069,655.389
34.0,34.0,178.0,-0.016858928,0.11138282,1.88,45.61,32.45,76.46,21.456,676.845
35.0,35.0,179.0,-0.015685248,0.123491539,1.34,41.6,31.52,76.856,24.03,700.875
36.0,36.0,180.0,-0.014386248,0.136454976,1.6,39.08,31.14,74.858,23.571,724.446
37.0,37.0,181.0,-0.01295313,0.150323937,1.44,44.7,30.79,68.198,16.938,741.384
38.0,38.0,182.0,-0.011376575,0.165151394,0.0,38.01,30.8,76.1,22.014,763.398
39.0,39.0,183.0,-0.009646724,0.180992241,3.14,42.44,34.05,81.356,25.083,788.481
40.0,40.0,184.0,-0.007753164,0.197902871,2.56,49.16,33.27,76.676,25.245,813.726
41.0,41.0,185.0,-0.00568491,0.215940458,3.06,48.73,31.81,78.206,23.805,837.531
