x,y,z
0.013579,0.215377,-0.170891
0.010493,0.226649,-0.173601
0.020415,0.230665,-0.175927
0.060064,0.241075,-0.140388
0.057849,0.251924,-0.140969
0.060421,0.253476,-0.126477
0.062693,0.243492,-0.125203
0.032816,0.221959,-0.172495
0.026989,0.233526,-0.174706
0.037539,0.239213,-0.169297
0.041639,0.228136,-0.167291
0.063728,0.244642,-0.094737
0.061288,0.255913,-0.097883
0.061621,0.253554,-0.078814
0.064054,0.245605,-0.07506
0.061356,0.241296,-0.046068
0.059843,0.248843,-0.050007
0.057381,0.244103,-0.04199
0.058631,0.236816,-0.038629
0.003053,0.203717,-0.151802
0.002774,0.194943,-0.131875
0.000054,0.194932,-0.131864
0.000101,0.203699,-0.151795
0.002775,0.184867,-0.100746
-0.000016,0.185229,-0.102104
0.000008,0.189344,-0.114917
0.002675,0.189349,-0.114929
0.050088,0.193708,-0.034423
0.04822,0.192557,-0.034996
0.045076,0.189789,-0.037207
0.046747,0.190102,-0.037748
0.042519,0.187708,-0.042453
0.040749,0.18761,-0.041399
0.011741,0.181138,-0.07301
0.024751,0.179697,-0.065472
0.023181,0.181704,-0.057373
0.011383,0.181514,-0.061041
0.052731,0.198602,-0.032538
0.054894,0.204898,-0.031427
0.051831,0.201901,-0.032377
0.050232,0.196108,-0.033573
0.03386,0.182408,-0.054311
0.038556,0.185284,-0.047553
0.03629,0.186221,-0.046298
0.030837,0.18414,-0.051628
0.057251,0.221411,-0.032802
0.054051,0.219337,-0.032694
0.05302,0.209689,-0.031966
0.056605,0.212526,-0.031364
0.005606,0.210026,-0.164
-0.000018,0.211407,-0.163068
0.004196,0.18199,-0.089298
-0.000052,0.182583,-0.089862
0.005151,0.180664,-0.063
0.00492,0.180352,-0.074313
-0.000097,0.180357,-0.074327
0.063648,0.24544,-0.059233
0.060971,0.25386,-0.062785
0.056143,0.237951,-0.151639
0.048876,0.234159,-0.161051
0.044623,0.246594,-0.162562
0.052275,0.250076,-0.152907
0.063608,0.245337,-0.112058
0.061384,0.254679,-0.113976
0.002448,0.222278,-0.168107
0.056845,0.232522,-0.036155
0.054805,0.230356,-0.035104
0.009389,0.236732,-0.175511
0.018797,0.239353,-0.176919
0.002106,0.234325,-0.17252
0.008746,0.244284,-0.176833
0.017565,0.247336,-0.177453
0.024999,0.242069,-0.17549
0.033303,0.248453,-0.169905
0.023348,0.249871,-0.175716
0.031136,0.254094,-0.169977
0.040433,0.255063,-0.163059
0.032069,0.191692,-0.024402
0.03436,0.189161,-0.037512
0.039051,0.190791,-0.034327
0.036693,0.193973,-0.022843
0.001963,0.242603,-0.175257
-0.000128,0.249326,-0.176463
0.008171,0.251223,-0.178478
0.015534,0.256326,-0.177816
-0.00014,0.24262,-0.175259
0.023967,0.281297,-0.164977
0.028009,0.273543,-0.166846
0.022787,0.272945,-0.173494
0.019894,0.280051,-0.17098
0.032805,0.277935,-0.157463
0.034181,0.272339,-0.159911
0.02917,0.261832,-0.169266
0.0206,0.261222,-0.176306
0.015573,0.284999,-0.167432
0.048861,0.223294,-0.025281
0.047493,0.215945,-0.023246
0.050617,0.215231,-0.032229
0.051365,0.2262,-0.033398
0.006256,0.290216,-0.163882
0.016329,0.287045,-0.162529
0.006307,0.293554,-0.155175
0.017756,0.290683,-0.154738
0.051343,0.270067,-0.133411
0.055714,0.265409,-0.122774
0.053982,0.263046,-0.139122
0.048914,0.279398,-0.121338
0.052169,0.274719,-0.113544
0.058401,0.258664,-0.126139
0.055437,0.258099,-0.140705
0.046657,0.263092,-0.151937
0.044051,0.270838,-0.147936
0.048953,0.257399,-0.153157
0.058557,0.261251,-0.11251
0.057903,0.252009,-0.051294
0.058481,0.257084,-0.063114
0.056368,0.253488,-0.049088
0.055548,0.242539,-0.040212
0.054946,0.269997,-0.105768
0.058406,0.26209,-0.09301
0.051367,0.280031,-0.097163
0.055845,0.26899,-0.085634
0.049501,0.298004,-0.047001
0.049366,0.291556,-0.068218
0.045543,0.301421,-0.073315
0.043602,0.310282,-0.053785
0.033683,0.292047,-0.137658
0.033313,0.283755,-0.149854
0.027924,0.287528,-0.152956
0.027248,0.295518,-0.140138
0.042096,0.285522,-0.130778
0.042622,0.278334,-0.14102
0.018023,0.297748,-0.141603
0.026362,0.305284,-0.120767
0.034041,0.301245,-0.118236
0.035384,0.319167,-0.0551
0.034683,0.316086,-0.081108
0.025124,0.322472,-0.085259
0.024187,0.326716,-0.058792
0.041909,0.308406,-0.07717
0.034439,0.309994,-0.099545
0.025663,0.314841,-0.102292
0.015095,0.325698,-0.086472
0.013632,0.330898,-0.060168
0.006692,0.299508,-0.142122
0,0.293554,-0.155175
0,0.299508,-0.142122
0.006315,0.309078,-0.122925
0.016892,0.307971,-0.122336
0.005716,0.326687,-0.086117
0.005228,0.331857,-0.059482
0.054216,0.251986,-0.042444
0.052646,0.238424,-0.03629
0.056794,0.260233,-0.061112
0.055482,0.26445,-0.052653
0.050574,0.231477,-0.027392
0.052856,0.241471,-0.029491
0.053499,0.285287,-0.042545
0.055511,0.273589,-0.038433
0.055126,0.272804,-0.059869
0.0528,0.28117,-0.063764
0.046452,0.209418,-0.021755
0.045626,0.204028,-0.021004
0.049006,0.202109,-0.029433
0.04976,0.207812,-0.030399
0.026169,0.188879,-0.025617
0.016845,0.186397,-0.026404
0.019412,0.184304,-0.043556
0.02865,0.186734,-0.040463
0.044817,0.20056,-0.021147
0.043504,0.198739,-0.021337
0.046105,0.195742,-0.029445
0.047781,0.198087,-0.029104
0.000006,0.291199,-0.163971
0.053586,0.274932,-0.07546
0.050191,0.285603,-0.083212
0.056013,0.265894,-0.069364
0.046229,0.294061,-0.089288
0.043306,0.193082,-0.031164
