x,y,z
-0.0135623,0.59686,-0.379364
-0.00816133,0.602476,-0.378438
-0.0148039,0.590327,-0.383195
-0.0118975,0.58294,-0.39005
-0.00270913,0.575463,-0.396369
-0.00786722,0.578022,-0.394483
-0.00411826,0.605503,-0.378059
-0.00142673,0.605942,-0.378227
-0.005967,0.604354,-0.378213
-0.00012409,0.575481,-0.39648
-0.00008273,0.605942,-0.378227
-0.0668653,0.551598,-0.368231
-0.0621923,0.576118,-0.350518
-0.0501853,0.577839,-0.361346
-0.0598653,0.612277,-0.238516
-0.0619123,0.606348,-0.215136
-0.0454123,0.617687,-0.223452
-0.0439023,0.620776,-0.245355
-0.0269623,0.625877,-0.250322
-0.0278933,0.624504,-0.230323
-0.00935426,0.626913,-0.235423
-0.00904426,0.627621,-0.253943
-0.00852626,0.626575,-0.27296
-0.00780326,0.623624,-0.29266
-0.0232383,0.621934,-0.291361
-0.0254113,0.625058,-0.270519
-0.0420893,0.620785,-0.266978
-0.0399703,0.61752,-0.288702
-0.0580003,0.610383,-0.284682
-0.0585603,0.613733,-0.261803
-0.0108793,0.606716,-0.36289
-0.00761226,0.605479,-0.370402
-0.0132503,0.605763,-0.36312
-0.0230103,0.585867,-0.375249
-0.0221823,0.591106,-0.371772
-0.0173223,0.590616,-0.376869
-0.0162793,0.583269,-0.382229
-0.024304,0.572296,-0.382471
-0.0162479,0.569766,-0.389061
-0.0197077,0.546772,-0.397461
-0.0268725,0.547826,-0.394384
-0.0459323,0.594614,-0.347114
-0.0594163,0.592662,-0.332834
-0.0585383,0.601089,-0.315205
-0.0420083,0.602229,-0.336218
-0.0556883,0.495733,-0.396053
-0.0493672,0.524286,-0.395379
-0.0401712,0.522735,-0.398683
-0.0476243,0.494816,-0.399201
-0.00198701,0.562042,-0.395549
-0.00203925,0.541065,-0.397402
-0.00520922,0.540991,-0.398917
-0.00662906,0.52147,-0.398282
-0.00235284,0.521988,-0.395731
-0.00284366,0.497365,-0.391481
-0.00815563,0.496011,-0.395599
-0.0453012,0.465605,-0.39578
-0.0357078,0.465435,-0.394096
-0.0415006,0.42499,-0.384242
-0.050159,0.426559,-0.386672
-0.0105963,0.423867,-0.366924
-0.00937674,0.465264,-0.384711
-0.00317526,0.4667,-0.37921
-0.00358926,0.426597,-0.359722
-0.00897634,0.385965,-0.255131
-0.014226,0.373187,-0.278149
-0.00447408,0.380443,-0.281401
-0.0109374,0.371651,-0.307226
-0.00330526,0.379407,-0.310486
-0.00316426,0.376771,-0.299807
-0.0123655,0.369482,-0.296133
-0.00504526,0.395007,-0.344015
-0.0124708,0.380757,-0.341273
-0.0124673,0.392291,-0.351944
-0.00886772,0.603217,-0.138243
-0.0264791,0.599291,-0.136767
-0.0435878,0.591037,-0.132853
-0.060193,0.578477,-0.127139
-0.0761824,0.562089,-0.124708
-0.091555,0.541839,-0.125931
-0.112293,0.489531,-0.128611
-0.114525,0.470278,-0.128379
-0.112289,0.448353,-0.127521
-0.105586,0.423915,-0.12695
-0.064342,0.375383,-0.127626
-0.0466856,0.36707,-0.128878
-0.0284187,0.361422,-0.129807
-0.011106,0.358747,-0.130354
-0.0430552,0.391547,-0.191774
-0.043895,0.379135,-0.161463
-0.0615522,0.386211,-0.162112
-0.0633437,0.397875,-0.192898
-0.0856119,0.409675,-0.161249
